ClienteID,Nome,Cidade,Produto,Valor_Euro,Data_Assinatura
6253,Cliente_6253,Cascais,Pacote TV HD,26.66,2018-03-23
4685,Cliente_4685,Braga,Net segura,174.31,2020-04-18
1732,Cliente_1732,Lisboa,Pacote TV HD,29.81,2020-02-28
4743,Cliente_4743,Coimbra,Telefone Fixo Ilimitado,25.4,2023-07-11
4522,Cliente_4522,Braga,Internet 100 Mbps,36.46,2023-01-23
6341,Cliente_6341,Cascais,Pacote Mobile Empresarial,29.25,2020-10-29
577,Cliente_577,Lisboa,Internet 100 Mbps,32.74,2021-09-26
5203,Cliente_5203,Faro,Internet 100 Mbps,45.55,2023-01-07
6364,Cliente_6364,Cascais,Internet 200 Mbps,68.59,2023-04-19
440,Cliente_440,Lisboa,"Pacote Integrado (TV, Internet, Telefone)",101.72,2022-05-25
2751,Cliente_2751,Porto,Internet 200 Mbps,58.7,2018-04-30
7488,Cliente_7488,Sintra,Net segura,202.21,2022-08-22
5273,Cliente_5273,Faro,Net segura,176.59,2023-12-08
5654,Cliente_5654,Cascais,Telefone Fixo Ilimitado,21.46,2018-07-03
4000,Cliente_4000,Braga,Telefone Fixo Ilimitado,27.42,2020-01-14
6034,Cliente_6034,Cascais,Internet 200 Mbps,61.52,2022-03-20
583,Cliente_583,Lisboa,Net segura,263.15,2022-02-17
9931,Cliente_9931,Évora,Pacote TV HD,33.03,2018-08-15
7052,Cliente_7052,Vila Nova de Gaia,"Pacote Integrado (TV, Internet, Telefone)",101.17,2018-03-20
8159,Cliente_8159,Sintra,Pacote Mobile Empresarial,20.71,2022-10-24
9897,Cliente_9897,Évora,Cloud,276.6,2022-01-31
2250,Cliente_2250,Lisboa,Net segura,225.67,2021-01-08
4641,Cliente_4641,Braga,Pacote Mobile Empresarial,20.5,2020-11-30
9486,Cliente_9486,Funchal,Cloud,480.51,2020-06-21
4948,Cliente_4948,Coimbra,Telefone Fixo Ilimitado,24.74,2018-02-01
9921,Cliente_9921,Évora,Pacote Mobile Empresarial,28.16,2021-01-21
1964,Cliente_1964,Lisboa,"Pacote Integrado (TV, Internet, Telefone)",104.17,2023-06-15
8244,Cliente_8244,Sintra,Internet 100 Mbps,43.71,2019-10-05
6591,Cliente_6591,Vila Nova de Gaia,Telefone Fixo Ilimitado,20.66,2019-11-13
8848,Cliente_8848,Sintra,Internet 200 Mbps,63.8,2020-06-05
322,Cliente_322,Lisboa,Cloud,490.18,2022-02-07
2679,Cliente_2679,Porto,Internet 200 Mbps,69.02,2022-01-12
4626,Cliente_4626,Braga,Pacote TV HD,38.23,2023-07-07
4950,Cliente_4950,Coimbra,Telefone Fixo Ilimitado,26.84,2022-09-18
8329,Cliente_8329,Sintra,Internet 100 Mbps,30.57,2020-06-19
3338,Cliente_3338,Porto,Internet 200 Mbps,51.34,2019-09-19
5590,Cliente_5590,Cascais,Cloud,344.36,2023-07-19
252,Cliente_252,Lisboa,Internet 200 Mbps,67.15,2021-09-12
3974,Cliente_3974,Braga,Pacote Mobile Empresarial,17.45,2021-01-15
6631,Cliente_6631,Vila Nova de Gaia,Internet 200 Mbps,59.94,2021-08-23
5548,Cliente_5548,Cascais,"Pacote Integrado (TV, Internet, Telefone)",103.82,2020-12-05
36,Cliente_36,Lisboa,"Pacote Integrado (TV, Internet, Telefone)",87.81,2022-11-16
8363,Cliente_8363,Sintra,Internet 100 Mbps,32.28,2020-04-28
1514,Cliente_1514,Lisboa,Net segura,246.64,2018-03-29
9318,Cliente_9318,Funchal,"Pacote Integrado (TV, Internet, Telefone)",105.24,2018-01-21
40,Cliente_40,Lisboa,Pacote TV HD,27.29,2019-10-24
4820,Cliente_4820,Coimbra,Pacote TV HD,33.18,2020-10-22
3466,Cliente_3466,Porto,Pacote Mobile Empresarial,18.89,2023-07-21
1761,Cliente_1761,Lisboa,Cloud,370.16,2021-11-02
2305,Cliente_2305,Lisboa,Net segura,202.67,2023-06-22
3724,Cliente_3724,Porto,Pacote Mobile Empresarial,15.6,2020-08-17
8285,Cliente_8285,Sintra,Pacote TV HD,31.23,2018-02-07
4994,Cliente_4994,Coimbra,Pacote Mobile Empresarial,22.95,2022-07-18
8128,Cliente_8128,Sintra,"Pacote Integrado (TV, Internet, Telefone)",140.72,2021-12-08
3033,Cliente_3033,Porto,Cloud,493.38,2019-05-28
7939,Cliente_7939,Sintra,Pacote Mobile Empresarial,25.47,2018-08-01
3040,Cliente_3040,Porto,Internet 100 Mbps,34.79,2019-10-29
9656,Cliente_9656,Funchal,"Pacote Integrado (TV, Internet, Telefone)",116.47,2022-05-21
2546,Cliente_2546,Lisboa,Net segura,153.67,2022-07-01
2593,Cliente_2593,Lisboa,Internet 100 Mbps,33.44,2022-08-10
1189,Cliente_1189,Lisboa,Internet 100 Mbps,41.14,2018-01-01
7967,Cliente_7967,Sintra,Internet 200 Mbps,52.17,2021-09-21
6078,Cliente_6078,Cascais,Telefone Fixo Ilimitado,25.29,2023-03-11
108,Cliente_108,Lisboa,Telefone Fixo Ilimitado,29.76,2019-12-27
1316,Cliente_1316,Lisboa,Pacote TV HD,25.64,2020-04-26
8188,Cliente_8188,Sintra,Pacote Mobile Empresarial,29.89,2018-04-05
2754,Cliente_2754,Porto,Pacote Mobile Empresarial,24.99,2019-05-20
9754,Cliente_9754,Évora,"Pacote Integrado (TV, Internet, Telefone)",117.15,2023-04-09
6232,Cliente_6232,Cascais,Internet 200 Mbps,60.62,2020-12-09
2877,Cliente_2877,Porto,Internet 100 Mbps,37.11,2023-03-01
5324,Cliente_5324,Faro,Net segura,292.07,2023-04-05
800,Cliente_800,Lisboa,Telefone Fixo Ilimitado,26.4,2022-11-06
3571,Cliente_3571,Porto,Cloud,442.71,2022-10-08
2895,Cliente_2895,Porto,Cloud,239.43,2019-03-18
2928,Cliente_2928,Porto,Pacote TV HD,35.57,2019-02-09
8179,Cliente_8179,Sintra,Pacote Mobile Empresarial,17.58,2020-03-14
