venda_id;cliente_id;produto;preco;data
1;1;Cloud;259.22;2023-11-21
2;1;Telefone Fixo Ilimitado;22.54;2023-01-29
3;2;Telefone Fixo Ilimitado;28.9;2022-06-01
4;3;Internet 100 Mbps;43.58;2023-08-24
5;3;Internet 100 Mbps;35.06;2024-10-13
6;3;Internet 100 Mbps;48.19;2023-04-25
7;3;Telefone Fixo Ilimitado;20.62;2022-12-27
8;4;Pacote Mobile Empresarial;29.55;2022-01-27
9;4;Net segura;252.82;2023-12-06
10;5;Pacote TV HD;26.16;2023-09-14
11;5;Telefone Fixo Ilimitado;26.08;2022-05-19
12;6;Internet 100 Mbps;32.93;2022-09-23
13;6;Internet 100 Mbps;43.74;2022-12-04
14;6;Cloud;289.13;2024-05-01
15;6;Internet 100 Mbps;49.1;2022-05-18
16;6;Pacote TV HD;25.64;2022-11-22
17;7;Pacote TV HD;37.63;2024-11-09
18;7;Cloud;421.55;2023-03-31
19;7;Internet 200 Mbps;65.19;2023-11-28
20;7;Internet 200 Mbps;63.61;2023-05-30
21;7;Pacote Integrado (TV, Internet, Telefone);117.19;2023-04-17
22;8;Net segura;207.53;2023-04-12
23;8;Pacote Integrado (TV, Internet, Telefone);136.77;2025-01-29
24;9;Pacote Mobile Empresarial;16.13;2023-03-10
25;9;Pacote Integrado (TV, Internet, Telefone);135.98;2024-08-06
26;9;Net segura;250.77;2022-02-21
27;10;Cloud;329.32;2022-02-27
28;10;Telefone Fixo Ilimitado;25.5;2024-06-22
29;10;Internet 100 Mbps;49.93;2024-08-30
30;10;Internet 100 Mbps;40.06;2022-04-21
31;11;Pacote Mobile Empresarial;28.07;2024-07-19
32;11;Internet 200 Mbps;51.98;2023-02-09
33;11;Pacote Integrado (TV, Internet, Telefone);111.81;2023-03-20
34;11;Pacote TV HD;37.36;2022-04-26
35;12;Pacote Mobile Empresarial;25.82;2023-10-23
36;12;Cloud;225.22;2023-11-03
37;12;Cloud;272.22;2023-07-18
38;13;Internet 100 Mbps;43.25;2022-03-29
39;13;Net segura;240.16;2022-03-14
40;13;Internet 100 Mbps;36.76;2024-06-12
41;14;Telefone Fixo Ilimitado;29.08;2023-03-16
42;14;Pacote Integrado (TV, Internet, Telefone);110.54;2024-10-05
43;14;Telefone Fixo Ilimitado;23.04;2022-06-11
44;14;Pacote TV HD;28.83;2025-01-07
